Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
HW238310,04/18/2013 06:20:00 PM,001XX W 35TH ST,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA GARAGE / OTHER PROPERTY,true,false,0915,009,11,34,11,1175739,1881773,2013,02/10/2018 03:50:01 PM,41.830954079,-87.630703226,POINT (-87.630703226 41.830954079)
HW237139,04/17/2013 04:50:00 PM,001XX W 35TH ST,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,true,false,0915,009,11,34,11,1175739,1881773,2013,02/10/2018 03:50:01 PM,41.830954079,-87.630703226,POINT (-87.630703226 41.830954079)
HW236115,04/16/2013 11:30:00 AM,001XX W 35TH ST,THEFT,$500 AND UNDER,STREET,false,false,0915,009,11,34,06,1175739,1881773,2013,02/10/2018 03:50:01 PM,41.830954079,-87.630703226,POINT (-87.630703226 41.830954079)
HW232324,04/14/2013 05:40:00 AM,033XX S FEDERAL ST,BATTERY,PRO EMP HANDS NO/MIN INJURY,STREET,true,false,0211,002,3,35,08B,1176173,1883043,2013,02/10/2018 03:50:01 PM,41.83442931,-87.629072664,POINT (-87.629072664 41.83442931)
HW230466,04/12/2013 03:45:00 PM,035XX S STATE ST,THEFT,$500 AND UNDER,APARTMENT,false,false,0213,002,3,35,06,1176847,1881672,2013,02/10/2018 03:50:01 PM,41.830651986,-87.62664099,POINT (-87.62664099 41.830651986)
HW230740,04/12/2013 12:15:00 PM,0000X W 35TH ST,THEFT,$500 AND UNDER,OTHER,false,false,0211,002,3,35,06,1176725,1881799,2013,02/10/2018 03:50:01 PM,41.831003238,-87.627084778,POINT (-87.627084778 41.831003238)
HW230747,04/12/2013 12:15:00 PM,0000X W 35TH ST,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER,false,false,0211,002,3,35,11,1176725,1881799,2013,02/10/2018 03:50:01 PM,41.831003238,-87.627084778,POINT (-87.627084778 41.831003238)
HW228309,04/11/2013 10:45:00 AM,035XX S MICHIGAN AVE,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,SIDEWALK,false,true,0213,002,3,35,03,1177772,1881687,2013,02/10/2018 03:50:01 PM,41.830672217,-87.623246702,POINT (-87.623246702 41.830672217)
HW227504,04/10/2013 04:00:00 PM,031XX S MICHIGAN AVE,THEFT,$500 AND UNDER,GAS STATION,true,false,0211,002,3,35,06,1177699,1884310,2013,02/10/2018 03:50:01 PM,41.837871585,-87.623435005,POINT (-87.623435005 41.837871585)
HW226506,04/09/2013 08:55:00 PM,035XX S STATE ST,THEFT,FROM BUILDING,SMALL RETAIL STORE,false,false,0213,002,3,35,06,1176846,1881708,2013,02/10/2018 03:50:01 PM,41.830750796,-87.626643572,POINT (-87.626643572 41.830750796)
